time,x1,y1,z1,a1,e1 ,r1,x2,y2,z2,a2,e2,r2,x3,y3,z3,a3,e3,r3,x4,y4,z4,a4,e4,r4,V0,V1,V2,V3,V4,V5
10,5.559082031,12.69580078,2.522460938,35.68359375,88.08837891,-80.52978516,14.0625,4.702148438,-0.140625,157.2583008,11.38183594,54.88769531,10.8984375,6.424804688,-0.382324219,154.0722656,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.9453125,-12.19482422,-5.163574219,0.399333962,0.564380571,-0.242369902,0.640580872,-0.081862858,0.480073855
20,5.559082031,12.69140625,2.522460938,35.70556641,88.08837891,-80.5078125,14.0625,4.702148438,-0.140625,157.2583008,11.38183594,54.90966797,10.8984375,6.424804688,-0.382324219,154.0722656,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.9453125,-12.19482422,-5.163574219,0.399658218,0.564704828,-0.242045646,0.640905129,-0.081862858,0.480398112
30,5.559082031,12.69140625,2.522460938,35.70556641,88.08837891,-80.48583984,14.0625,4.702148438,-0.140625,157.2583008,11.38183594,54.90966797,10.8984375,6.424804688,-0.382324219,154.0722656,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.9453125,-12.19482422,-5.163574219,0.399658218,0.564704828,-0.242369902,0.641229386,-0.082187115,0.480073855
40,5.559082031,12.69140625,2.522460938,35.72753906,88.08837891,-80.46386719,14.0625,4.702148438,-0.140625,157.2583008,11.38183594,54.90966797,10.8984375,6.424804688,-0.382324219,154.0722656,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.9453125,-12.19482422,-5.163574219,0.398685448,0.564380571,-0.242045646,0.641229386,-0.082511371,0.480398112
50.0001,5.563476563,12.69140625,2.522460938,35.74951172,88.08837891,-80.41992188,14.0625,4.702148438,-0.140625,157.2583008,11.38183594,54.90966797,10.8984375,6.424804688,-0.382324219,154.0722656,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399009705,0.564380571,-0.242045646,0.640905129,-0.082835628,0.480073855
60.0002,5.563476563,12.69140625,2.522460938,35.79345703,88.08837891,-80.39794922,14.0625,4.702148438,-0.140625,157.2363281,11.38183594,54.90966797,10.8984375,6.424804688,-0.382324219,154.0722656,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399333962,0.564704828,-0.242045646,0.641229386,-0.082511371,0.480398112
70.0002,5.563476563,12.69140625,2.522460938,35.83740234,88.08837891,-80.35400391,14.0625,4.702148438,-0.140625,157.2363281,11.38183594,54.90966797,10.8984375,6.424804688,-0.382324219,154.0722656,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399333962,0.564704828,-0.242369902,0.641229386,-0.082511371,0.480073855
80.0002,5.563476563,12.69140625,2.522460938,35.859375,88.08837891,-80.31005859,14.06689453,4.697753906,-0.140625,157.2363281,11.38183594,54.90966797,10.8984375,6.424804688,-0.382324219,154.0722656,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399333962,0.565029084,-0.242045646,0.641229386,-0.082187115,0.480398112
90.0002,5.563476563,12.69140625,2.522460938,35.90332031,88.08837891,-80.26611328,14.06689453,4.697753906,-0.140625,157.2363281,11.38183594,54.90966797,10.8984375,6.420410156,-0.382324219,154.0722656,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399333962,0.565029084,-0.243018416,0.641553642,-0.081538602,0.480722368
100.0002,5.563476563,12.69140625,2.522460938,35.94726563,88.08837891,-80.22216797,14.06689453,4.697753906,-0.140625,157.2363281,11.38183594,54.90966797,10.8984375,6.420410156,-0.382324219,154.050293,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399009705,0.565353341,-0.243666929,0.641877899,-0.081862858,0.480722368
